id,volume,lon,lat,edd
2001,2000,77.61996702,12.97308345,2023-02-08
2002,2000,77.56386484,13.00394803,2023-02-11
2003,128000,77.53960385,13.00068489,2023-02-09
2004,500,77.58851167,13.05790662,2023-02-08
2005,32000,77.62324516,12.89834618,2023-02-11
2006,32000,77.54274911,12.92880577,2023-02-09
2007,64000,77.60376805,12.96232358,2023-02-08
2008,128000,77.64795499,12.8935835,2023-02-08
2009,250,77.55020634,12.99210752,2023-02-11
2010,500,77.60973821,12.95920696,2023-02-08
2011,1000,77.52088782,13.03198653,2023-02-10
2012,500,77.61086027,12.89324722,2023-02-10
2013,4000,77.54302815,12.97800105,2023-02-08
2014,1000,77.56125789,12.95541149,2023-02-09
2015,64000,77.58384812,12.94800512,2023-02-10
2016,8000,77.58891772,12.95686315,2023-02-08
2017,2000,77.67559582,12.92909111,2023-02-11
2018,250,77.6051554,13.03774055,2023-02-09
2019,32000,77.51448739,12.95242329,2023-02-08
2020,16000,77.63111364,13.04114256,2023-02-08
2021,16000,77.66734924,13.00133657,2023-02-08
2022,128000,77.55443447,13.01242014,2023-02-10
2023,500,77.57434125,12.97553073,2023-02-08
2024,125,77.5959221,12.98474939,2023-02-08
2025,8000,77.61907835,12.98150965,2023-02-11
2026,256000,77.57050698,12.91605071,2023-02-08
2027,4000,77.53882045,12.93193049,2023-02-10
2028,8000,77.65614258,12.98136592,2023-02-08
2029,32000,77.66202941,13.00709056,2023-02-09
2030,4000,77.57701119,12.94798781,2023-02-10
2031,8000,77.70616438,12.99780177,2023-02-10
2032,8000,77.50628656,12.95890232,2023-02-08
2033,128000,77.57746476,12.97180046,2023-02-09
2034,16000,77.52045467,12.94946031,2023-02-08
2035,250,77.6485025,12.93153884,2023-02-08
2036,1000,77.55959942,13.02738307,2023-02-10
2037,500,77.60291999,12.95874837,2023-02-10
2038,256000,77.62511528,12.97129476,2023-02-08
2039,8000,77.56348403,12.93727833,2023-02-10
2040,4000,77.71182055,12.99263526,2023-02-08
2041,250,77.57333652,12.88395398,2023-02-11
2042,4000,77.61462636,12.91796342,2023-02-09
2043,64000,77.63645975,13.00295413,2023-02-11
2044,256000,77.62721878,13.01305761,2023-02-08
2045,125,77.55602404,12.93176039,2023-02-09
2046,128000,77.54252408,12.98903148,2023-02-09
2047,4000,77.58498918,13.02710026,2023-02-08
2048,2000,77.61269058,12.98833235,2023-02-09
2049,2000,77.56212218,13.04131166,2023-02-09
2050,250,77.5802331,12.93489289,2023-02-08
2051,8000,77.5836498,12.97352604,2023-02-08
2052,125,77.59550687,13.00818632,2023-02-08
2053,125,77.57421024,12.96077887,2023-02-09
2054,64000,77.51008104,12.9764744,2023-02-09
2055,256000,77.59383212,12.98332839,2023-02-08
2056,64000,77.58510448,12.9791396,2023-02-09
2057,250,77.57335369,12.94915996,2023-02-09
2058,32000,77.54053441,12.95201435,2023-02-08
2059,125,77.64552717,12.93888618,2023-02-09
2060,128000,77.6063229,13.03711096,2023-02-11
2061,256000,77.55907894,12.91158727,2023-02-08
2062,128000,77.55993687,12.99209597,2023-02-10
2063,250,77.60182694,12.93665413,2023-02-08
2064,1000,77.53111228,13.01164426,2023-02-08
2065,2000,77.56847969,13.02864246,2023-02-11
2066,64000,77.56524459,13.03883677,2023-02-10
2067,250,77.6183743,12.99330493,2023-02-09
2068,125,77.52750498,12.95783203,2023-02-10
2069,128000,77.68690451,13.02934197,2023-02-08
2070,4000,77.58308943,12.94525785,2023-02-08
2071,32000,77.67767851,12.99392337,2023-02-09
2072,4000,77.59938048,13.00024217,2023-02-09
2073,250,77.61634143,13.03167111,2023-02-09
2074,4000,77.57124564,13.01417482,2023-02-10
2075,256000,77.54681659,13.03086816,2023-02-09
2076,32000,77.64293045,13.03583897,2023-02-11
2077,500,77.52579043,12.93002606,2023-02-09
2078,8000,77.69909236,12.92912731,2023-02-08
2079,250,77.64212062,12.92593449,2023-02-08
2080,128000,77.59297705,12.98729805,2023-02-08
